날짜	상대	이닝	투수	타자	P	결과	이전상황	이후상황	LEV	REa	WPs	WPe	WPa
2023-06-20	키움	1말	최원태	7 이재현	1-0	2루수 땅볼	2사 1,2루 0:2	이닝종료 0:2	1.15	-0.466	73.1	70.1	-0.030
2023-06-20	키움	4말	최원태	7 이재현	1-3	볼넷	무사 0:2	무사 1루 0:2	0.60	0.398	78.9	81.2	0.023
2023-06-20	키움	6말	최원태	7 이재현	2-0	중견수 안타	2사 1:2	2사 1루 1:2	0.42	0.134	70.6	71.8	0.012
2023-06-20	키움	9말	김선기	7 이재현	2-2	3루수 병살타	무사 1루 7:2	2사 7:2	0.44	-0.836	1.7	0.1	-0.016
2023-06-21	키움	1말	정찬헌	3 이재현	2-0	유격수 땅볼	2사 0:0	이닝종료 0:0	0.40	-0.117	51.0	50.0	-0.010
2023-06-21	키움	4말	정찬헌	3 이재현	2-2	좌익수 안타	무사 0:0	무사 1루 0:0	1.07	0.398	56.0	60.2	0.042
2023-06-21	키움	6말	정찬헌	3 이재현	2-0	좌익수 안타	2사 2루 0:0	이닝종료 0:0	1.88	-0.344	55.3	50.0	-0.053
2023-06-21	키움	9말	원종현	3 이재현	2-1	이재현/15034 : 삼진 아웃	1사 0:0	2사 0:0	1.80	-0.180	58.0	53.5	-0.045
2023-06-22	키움	1말	안우진	3 이재현	2-2	유격수 땅볼	1사 1루 1:0	2사 1루 1:0	1.23	-0.322	44.8	41.8	-0.030
2023-06-22	키움	3말	안우진	3 이재현	1-0	유격수 땅볼	2사 1루 1:0	이닝종료 1:0	0.98	-0.251	40.2	37.5	-0.028
2023-06-22	키움	5말	안우진	3 이재현	1-0	투수 땅볼	2사 1루 2:0	이닝종료 2:0	1.10	-0.251	24.8	21.7	-0.031
2023-06-22	키움	8말	안우진	3 이재현	2-3	이재현/15034 : 삼진 아웃	무사 2:0	1사 2:0	1.71	-0.258	16.2	11.9	-0.043
2023-06-22	키움	9말	임창민	3 이재현	2-2	3루수 땅볼	2사 1,3루 2:1	이닝종료 2:1	7.23	-0.538	20.0	0.0	-0.200
2023-06-23	SSG	1초	김광현	2 이재현	1-1	좌익수 뜬공	1사 0:0	2사 0:0	0.62	-0.180	52.2	53.8	-0.016
2023-06-23	SSG	3초	김광현	2 이재현	1-1	중견수 뜬공	2사 3루 0:5	이닝종료 0:5	0.60	-0.387	91.9	93.5	-0.017
2023-06-23	SSG	6초	김광현	2 이재현	2-1	유격수 땅볼	무사 1루 0:5	1사 1루 0:5	0.78	-0.380	93.6	95.4	-0.018
2023-06-24	SSG	7초	노경은	7 이재현	2-2	좌익수 뜬공	2사 7:7	이닝종료 7:7	0.78	-0.117	56.8	58.8	-0.020
2023-06-24	SSG	9초	서진용	7 이재현	2-3	볼넷	1사 10:13	1사 1루 10:13	0.40	0.276	98.6	96.4	0.022
2023-06-25	SSG	8초	임준섭	7 이재현	2-1	이재현/15034 : 삼진 아웃	1사 5:1	2사 5:1	0.10	-0.180	3.8	4.1	-0.003
2023-06-27	롯데	3초	정성종	9 이재현	2-2	좌익수 2루타	1사 0:2	1사 2루 0:2	0.67	0.428	74.0	69.7	0.043
2023-06-27	롯데	5초	심재민	9 이재현	2-1	이재현/15034 : 삼진 아웃	2사 2루 0:2	이닝종료 0:2	1.33	-0.344	77.7	81.5	-0.038
2023-06-27	롯데	7초	김상수	9 이재현	1-0	좌익수 홈런	1사 1루 1:2	1사 3:2	2.31	1.724	69.0	32.9	0.361
2023-06-27	롯데	8초	구승민	9 이재현	1-1	유격수 땅볼	2사 만루 3:2	이닝종료 3:2	2.78	-0.815	23.4	30.4	-0.070
2023-06-28	롯데	2초	이인복	7 이재현	1-1	우익수 안타	무사 2:1	무사 1루 2:1	0.82	0.398	39.5	36.2	0.033
2023-06-28	롯데	3초	이인복	7 이재현	1-2	이재현/15034 : 3루수 직선타 아웃	1사 2루 4:1	2사 2루 4:1	0.73	-0.381	19.0	21.1	-0.021
2023-06-28	롯데	6초	이인복	7 이재현	2-2	이재현/15034 : 삼진 아웃	무사 5:5	1사 5:5	1.34	-0.258	50.0	53.4	-0.034
2023-06-28	롯데	7초	한현희	7 이재현	1-1	중견수 뜬공	2사 1루 6:8	이닝종료 6:8	1.15	-0.251	85.7	89.0	-0.033
2023-06-30	한화	2말	문동주	6 이재현	2-1	유격수 땅볼	2사 4:0	이닝종료 4:0	0.29	-0.117	14.5	13.8	-0.008
2023-06-30	한화	5말	문동주	6 이재현	2-2	이재현/15034 : 삼진 아웃	1사 2루 5:0	2사 2루 5:0	0.71	-0.381	8.0	6.0	-0.020
2023-06-30	한화	7말	이태양	6 이재현	2-1	우익수 뜬공	1사 6:0	2사 6:0	0.14	-0.180	1.3	1.0	-0.003
2023-06-30	한화	9말	한승주	6 이재현	2-2	좌익수 2루타	2사 1루 6:0	2사 2루 6:1	0.02	1.093	0.1	0.2	0.001
2023-07-01	한화	1말	산체스	6 이재현	2-2	이재현/15034 : 삼진 아웃	2사 1,2루 0:1	이닝종료 0:1	1.42	-0.466	64.2	60.5	-0.036
2023-07-01	한화	4말	산체스	6 이재현	2-3	이재현/15034 : 삼진 아웃	1사 2:1	2사 2:1	0.85	-0.180	39.5	37.3	-0.021
2023-07-01	한화	7말	김범수	6 이재현	2-1	투수 땅볼	무사 7:1	1사 7:1	0.24	-0.258	1.9	1.3	-0.006
2023-07-02	한화	3말	페냐	9 이재현	2-3	중견수 안타	1사 1:1	1사 1루 1:1	0.72	0.276	53.0	55.7	0.028
2023-07-02	한화	4말	페냐	9 이재현	2-0	2루수 땅볼	2사 2루 1:2	이닝종료 1:2	1.15	-0.344	67.3	64.1	-0.033
2023-07-02	한화	7말	이태양	9 이재현	2-3	이재현/15034 : 삼진 아웃	2사 1:2	이닝종료 1:2	0.39	-0.117	75.8	74.8	-0.010
2023-07-04	두산	1말	최원준	6 이재현	0-1	중견수 2루타	2사 1루 0:2	2사 2루 0:3	0.57	1.093	71.7	80.0	0.083
2023-07-04	두산	3말	최원준	6 이재현	2-2	유격수 땅볼	2사 1루 0:3	이닝종료 0:3	0.42	-0.251	83.0	81.8	-0.012
2023-07-04	두산	6말	이영하	6 이재현	0-1	중견수 뜬공	1사 0:3	2사 0:3	0.22	-0.180	90.6	90.1	-0.006
2023-07-04	두산	8말	정철원	6 이재현	2-3	2루수 땅볼	2사 1,2루 3:3	이닝종료 3:3	3.47	-0.466	58.9	50.0	-0.089
2023-07-05	두산	2말	김동주	6 이재현	1-2	3루수 땅볼	1사 0:0	2사 0:0	0.67	-0.180	52.8	51.1	-0.017
2023-07-05	두산	4말	김동주	6 이재현	1-0	유격수 땅볼	1사 3:2	2사 3:2	0.85	-0.180	39.5	37.3	-0.021
2023-07-05	두산	6말	이영하	6 이재현	2-2	이재현/15034 : 삼진 아웃	무사 1,2루 6:2	1사 1,2루 6:2	2.12	-0.602	18.5	13.2	-0.054
2023-07-05	두산	8말	박정수	6 이재현	2-0	유격수 땅볼	1사 1루 7:2	2사 1루 7:2	0.39	-0.322	2.1	1.1	-0.010
2023-07-06	두산	2말	브랜든	9 이재현	2-2	이재현/15034 : 삼진 아웃	2사 2루 0:0	이닝종료 0:0	1.21	-0.344	53.4	50.0	-0.034
2023-07-06	두산	5말	브랜든	9 이재현	0-0	우익수 뜬공	2사 3:0	이닝종료 3:0	0.40	-0.117	14.4	13.4	-0.010
2023-07-06	두산	7말	브랜든	9 이재현	1-1	3루수 땅볼	2사 4:1	이닝종료 4:1	0.38	-0.117	7.9	6.9	-0.010
2023-07-08	NC	3초	신민혁	9 이재현	2-3	볼넷	1사 0:0	1사 1루 0:0	0.72	0.276	52.5	49.7	0.028
2023-07-08	NC	4초	신민혁	9 이재현	1-1	3루수 파울 뜬공	2사 1루 2:0	이닝종료 2:0	0.66	-0.251	28.8	30.6	-0.019
2023-07-08	NC	6초	조민석	9 이재현	1-1	중견수 안타	1사 만루 2:0	1사 1,3루 4:0	1.77	1.593	14.9	5.9	0.090
2023-07-08	NC	7초	배민서	9 이재현	2-3	이재현/15034 : 삼진 아웃	2사 3루 8:0	이닝종료 8:0	0.02	-0.387	0.4	0.5	-0.001
2023-07-09	NC	3초	송명기	9 이재현	2-2	중견수 뜬공	1사 1루 0:0	2사 1루 0:0	1.33	-0.322	49.7	52.9	-0.032
2023-07-09	NC	4초	송명기	9 이재현	1-2	좌익수 뜬공	2사 1,3루 2:0	이닝종료 2:0	1.42	-0.538	26.7	30.6	-0.039
2023-07-09	NC	6초	하준영	9 이재현	1-2	중견수 안타	1사 1,2루 3:0	1사 1,2루 4:0	0.89	1.000	11.7	6.9	0.048
2023-07-09	NC	7초	전사민	9 이재현	1-1	우익수 뜬공	2사 1루 7:0	이닝종료 7:0	0.03	-0.251	0.9	1.0	-0.001
2023-07-09	NC	9초	김태현	9 이재현	1-2	좌익수 안타	2사 1루 7:0	2사 1,2루 7:0	0.01	0.215	0.1	0.1	0.000
2023-07-12	KIA	3초	파노니	9 이재현	2-0	투수 땅볼	무사 0:0	1사 0:0	0.99	-0.258	50.0	52.5	-0.025
2023-07-12	KIA	5초	윤영철	9 이재현	2-1	유격수 땅볼	무사 2:1	1사 2:1	0.94	-0.258	35.9	38.3	-0.024
2023-07-12	KIA	7초	전상현	9 이재현	1-1	유격수 땅볼	1사 1루 2:3	2사 2루 2:3	2.31	-0.229	69.0	72.7	-0.037
2023-07-12	KIA	9초	장현식	9 이재현	1-0	좌익수 안타	2사 1루 2:3	2사 1,2루 2:3	2.80	0.215	92.1	85.9	0.062
2023-07-13	KIA	2초	양현종	7 이재현	0-1	좌익수 뜬공	무사 0:0	1사 0:0	0.93	-0.258	50.0	52.4	-0.024
2023-07-13	KIA	4초	양현종	7 이재현	2-2	좌익수 뜬공	무사 1루 1:0	1사 1루 1:0	1.45	-0.380	33.9	37.3	-0.034
2023-07-13	KIA	6초	임기영	7 이재현	2-1	이재현/15034 : 삼진 아웃	무사 3:0	1사 3:0	0.43	-0.258	13.4	14.4	-0.011
2023-07-13	KIA	8초	전상현	7 이재현	0-0	투수 희생번트	무사 1루 3:0	1사 2루 3:0	0.40	-0.228	5.9	6.3	-0.004
2023-07-21	KT	3말	쿠에바스	9 이재현	2-1	우익수 뜬공	2사 4:0	이닝종료 4:0	0.29	-0.117	12.7	12.0	-0.008
2023-07-21	KT	5말	쿠에바스	9 이재현	2-1	이재현/15034 : 삼진 아웃	2사 7:1	이닝종료 7:1	0.11	-0.117	2.8	2.5	-0.003
2023-07-21	KT	8말	쿠에바스	9 이재현	2-0	좌익수 안타	1사 7:1	1사 1루 7:1	0.09	0.276	0.6	1.0	0.004
2023-07-22	KT	3말	엄상백	9 이재현	2-1	이재현/15034 : 삼진 아웃	1사 0:1	2사 0:1	0.59	-0.180	65.0	63.5	-0.015
2023-07-22	KT	5말	엄상백	9 이재현	1-2	좌익수 안타	2사 2:1	2사 1루 2:1	0.64	0.134	35.4	37.3	0.019
2023-07-22	KT	7말	박영현	9 이재현	2-3	볼넷	2사 2루 2:1	2사 1,2루 2:1	2.63	0.122	32.6	34.6	0.019
2023-07-23	KT	2말	배제성	9 이재현	0-1	우익수 뜬공	무사 0:2	1사 0:2	0.62	-0.258	75.0	73.4	-0.016
2023-07-23	KT	4말	배제성	9 이재현	2-3	3루수 땅볼	무사 1루 3:2	1사 2루 3:2	1.97	-0.228	47.4	45.0	-0.024
2023-07-23	KT	6말	김민수	9 이재현	2-0	포수 파울 뜬공	무사 4:4	1사 4:4	1.32	-0.258	57.5	54.2	-0.034
2023-07-25	SSG	1말	오원석	2 이재현	2-3	볼넷	1사 0:0	1사 1루 0:0	0.62	0.276	52.6	55.0	0.024
2023-07-25	SSG	3말	오원석	2 이재현	2-0	이재현/15034 : 삼진 아웃	무사 0:1	1사 0:1	0.80	-0.258	67.1	65.0	-0.021
2023-07-25	SSG	5말	오원석	2 이재현	0-0	포수 번트 땅볼	무사 1루 0:1	1사 1루 0:1	1.34	-0.380	74.3	71.2	-0.031
2023-07-25	SSG	6말	고효준	2 이재현	2-1	이재현/15034 : 삼진 아웃	2사 2루 0:2	이닝종료 0:2	0.73	-0.344	84.0	81.9	-0.021
2023-07-25	SSG	8말	임준섭	2 이재현	2-2	중견수 안타	2사 2루 0:4	2사 1루 0:5	0.08	0.907	98.8	99.5	0.007
2023-07-26	SSG	1말	맥카티	2 이재현	1-1	포수 파울 뜬공	1사 0:0	2사 0:0	0.62	-0.180	52.6	51.0	-0.015
2023-07-26	SSG	3말	맥카티	2 이재현	0-2	포수 희생번트	무사 1,2루 1:0	1사 2,3루 1:0	2.32	-0.106	54.6	54.0	-0.006
2023-07-26	SSG	5말	노경은	2 이재현	1-0	2루수 뜬공	무사 4:3	1사 4:3	1.36	-0.258	41.2	37.8	-0.034
2023-07-26	SSG	6말	문승원	2 이재현	2-1	3루수 내야안타	2사 2,3루 7:5	2사 1,2루 7:6	3.19	0.832	27.5	38.1	0.106
