날짜	상대	이닝	투수	타자	P	결과	이전상황	이후상황	LEV	REa	WPs	WPe	WPa
2023-04-01	NC	3말	페디	9 이재현	2-1	좌익수 안타	무사 4:0	무사 1루 4:0	0.75	0.398	15.9	19.1	0.033
2023-04-01	NC	4말	페디	9 이재현	2-3	이재현/15034 : 삼진 아웃	1사 만루 4:0	2사 만루 4:0	2.76	-0.835	23.7	16.7	-0.070
2023-04-01	NC	6말	김진호	9 이재현	0-1	유격수 땅볼	2사 1루 4:0	이닝종료 4:0	0.56	-0.251	7.3	5.7	-0.016
2023-04-02	NC	3말	구창모	9 이재현	2-1	이재현/15034 : 삼진 아웃	무사 1,2루 6:0	1사 1,2루 6:0	1.18	-0.602	11.9	8.9	-0.030
2023-04-02	NC	4말	구창모	9 이재현	2-0	이재현/15034 : 삼진 아웃	2사 1루 6:3	이닝종료 6:3	0.81	-0.251	18.3	16.0	-0.023
2023-04-02	NC	6말	김진호	9 이재현	2-0	좌익수 안타	1사 1루 6:6	1사 1,3루 6:6	1.75	0.670	57.8	67.6	0.099
2023-04-02	NC	8말	임정호	9 이재현	1-1	포수 희생번트	무사 2루 6:8	1사 3루 6:8	0.29	-0.206	95.8	95.7	-0.001
2023-04-04	한화	3말	페냐	9 이재현	2-3	좌익수 홈런	무사 3:0	무사 3:1	0.91	1.000	23.1	32.3	0.093
2023-04-04	한화	4말	페냐	9 이재현	2-2	포수 파울 뜬공	무사 1루 3:5	1사 1루 3:5	0.94	-0.380	81.2	79.0	-0.022
2023-04-04	한화	7말	한승주	9 이재현	0-0	2루수 내야안타	무사 5:5	무사 1루 5:5	1.51	0.398	58.8	64.4	0.056
2023-04-06	한화	3말	문동주	9 이재현	1-1	유격수 뜬공	무사 5:0	1사 5:0	0.57	-0.258	10.6	9.1	-0.015
2023-04-06	한화	6말	이태양	9 이재현	2-1	이재현/15034 : 삼진 아웃	무사 5:0	1사 5:0	0.49	-0.258	5.4	4.2	-0.012
2023-04-06	한화	8말	김범수	9 이재현	2-2	1루수 뜬공	1사 5:1	2사 5:1	0.35	-0.180	2.7	1.8	-0.009
2023-04-07	LG	3초	켈리	9 이재현	1-0	3루수 땅볼	2사 0:5	이닝종료 0:5	0.19	-0.117	93.0	93.5	-0.005
2023-04-07	LG	6초	켈리	9 이재현	1-1	2루수 뜬공	무사 1:5	1사 1:5	0.64	-0.258	92.1	93.7	-0.016
2023-04-07	LG	8초	유영찬	9 이재현	1-1	유격수 땅볼	1사 1루 2:7	2사 1루 2:7	0.32	-0.322	98.3	99.1	-0.008
2023-04-08	LG	3초	김윤식	9 이재현	2-3	볼넷	1사 1루 0:1	1사 1,2루 0:1	1.39	0.398	61.1	56.8	0.043
2023-04-08	LG	6초	김진성	9 이재현	2-3	좌익수 뜬공	무사 0:1	1사 0:1	1.45	-0.258	66.3	70.0	-0.037
2023-04-08	LG	7초	정우영	9 이재현	2-0	투수 뜬공	2사 1,2루 0:1	이닝종료 0:1	3.26	-0.466	70.7	79.1	-0.084
2023-04-08	LG	9초	이정용	9 이재현	1-1	2루수 뜬공	2사 1,2루 1:1	이닝종료 1:1	4.46	-0.466	52.3	63.7	-0.114
2023-04-09	LG	2초	플럿코	9 이재현	1-0	3루수 희생번트	무사 1,2루 1:0	1사 2,3루 1:0	1.69	-0.106	31.2	31.5	-0.003
2023-04-09	LG	4초	플럿코	9 이재현	2-2	이재현/15034 : 삼진 아웃	2사 2:1	이닝종료 2:1	0.43	-0.117	41.4	42.5	-0.011
2023-04-09	LG	7초	플럿코	9 이재현	2-3	좌익수 2루타	1사 2:2	1사 2루 2:2	1.15	0.428	53.9	46.5	0.074
2023-04-09	LG	9초	임찬규	9 이재현	2-1	이재현/15034 : 삼진 아웃	무사 1루 2:2	1사 1루 2:2	3.44	-0.380	41.8	50.0	-0.081
2023-04-11	SSG	2말	오원석	7 이재현	2-2	유격수 땅볼	2사 2루 0:0	이닝종료 0:0	1.21	-0.344	53.4	50.0	-0.034
2023-04-11	SSG	4말	오원석	7 이재현	2-1	이재현/15034 : 삼진 아웃	2사 3:3	이닝종료 3:3	0.52	-0.117	51.3	50.0	-0.013
2023-04-11	SSG	7말	최민준	7 이재현	1-1	2루수 뜬공	무사 4:4	1사 4:4	1.51	-0.258	58.8	54.9	-0.039
2023-04-12	SSG	9말	서진용	5 이재현	2-0	이재현/15034 : 삼진 아웃	무사 3:0	1사 3:0	0.91	-0.258	4.1	1.8	-0.023
2023-04-13	SSG	2말	박종훈	9 이재현	2-2	투수 내야안타[실책포함]	무사 1:5	무사 2루 1:5	0.33	0.634	88.1	90.4	0.023
2023-04-13	SSG	3말	박종훈	9 이재현	2-2	이재현/15034 : 삼진 아웃	1사 2루 3:8	2사 2루 3:8	0.28	-0.381	94.0	93.2	-0.008
2023-04-13	SSG	5말	이로운	9 이재현	2-1	이재현/15034 : 삼진 아웃	1사 4:8	2사 4:8	0.16	-0.180	92.8	92.4	-0.004
2023-04-13	SSG	7말	박민호	9 이재현	0-0	유격수 파울 뜬공	2사 1루 5:8	이닝종료 5:8	0.21	-0.251	93.7	93.1	-0.006
2023-04-14	롯데	2말	스트레일리	9 이재현	1-1	좌익수 홈런	1사 만루 2:0	1사 2:4	3.02	2.647	45.0	73.4	0.285
2023-04-14	롯데	4말	스트레일리	9 이재현	1-3	볼넷	1사 1루 3:4	1사 1,2루 3:4	1.11	0.398	68.9	72.2	0.032
2023-04-14	롯데	6말	김도규	9 이재현	2-3	볼넷	무사 3:4	무사 1루 3:4	0.83	0.398	74.3	77.4	0.032
2023-04-14	롯데	7말	김진욱	9 이재현	1-1	좌익수 뜬공	무사 5:8	1사 5:8	0.21	-0.258	94.3	93.8	-0.006
2023-04-15	롯데	1말	나균안	2 이재현	2-2	중견수 뜬공	1사 1:0	2사 1:0	0.65	-0.180	42.2	40.6	-0.016
2023-04-15	롯데	3말	나균안	2 이재현	1-3	볼넷	2사 1루 4:0	2사 1,2루 4:0	0.62	0.215	13.7	15.5	0.017
2023-04-15	롯데	5말	나균안	2 이재현	2-2	유격수 땅볼	무사 4:2	1사 4:2	1.25	-0.258	28.4	25.2	-0.032
2023-04-15	롯데	6말	김진욱	2 이재현	2-2	중견수 뜬공	2사 1루 6:3	이닝종료 6:3	0.86	-0.251	12.8	10.3	-0.025
2023-04-15	롯데	8말	구승민	2 이재현	2-2	우익수 안타	2사 2루 8:4	2사 1루 8:5	0.45	0.907	2.7	5.5	0.027
2023-04-16	롯데	1말	반즈	2 이재현	1-1	투수 병살타	무사 1루 0:0	2사 0:0	1.42	-0.836	58.3	51.0	-0.073
2023-04-16	롯데	3말	반즈	2 이재현	1-1	몸에 맞는 볼	무사 0:0	무사 1루 0:0	0.99	0.398	55.5	59.5	0.040
2023-04-16	롯데	5말	반즈	2 이재현	1-3	볼넷	2사 0:0	2사 1루 0:0	0.58	0.134	51.5	53.1	0.017
2023-04-16	롯데	6말	반즈	2 이재현	1-0	좌익수 2루타	1사 1,2루 0:5	2사 3루 0:6	0.19	0.416	97.9	98.7	0.008
2023-04-16	롯데	8말	이진하	2 이재현	1-0	유격수 땅볼 실책[실책포함]	무사 1:9	무사 1루 1:9	0.00	0.398	100.0	100.0	0.000
2023-04-18	키움	1초	장재영	6 이재현	2-2	좌익수 안타	2사 1루 2:0	2사 1,2루 2:0	0.62	0.215	33.1	31.6	0.015
2023-04-18	키움	3초	장재영	6 이재현	2-3	볼넷	1사 1루 2:0	1사 1,2루 2:0	0.92	0.398	28.3	25.6	0.027
2023-04-18	키움	4초	양현	6 이재현	1-3	중견수 뜬공	2사 1루 6:0	이닝종료 6:0	0.14	-0.251	5.1	5.5	-0.004
2023-04-18	키움	7초	문성현	6 이재현	2-0	1루수 땅볼	2사 6:0	이닝종료 6:0	0.03	-0.117	1.8	1.9	-0.001
2023-04-19	키움	2초	안우진	6 이재현	1-0	2루수 땅볼	무사 2,3루 0:1	1사 3루 1:1	1.66	-0.069	45.2	45.2	0.000
2023-04-19	키움	4초	안우진	6 이재현	2-1	3루수 파울 뜬공	무사 2:1	1사 2:1	0.90	-0.258	37.5	39.8	-0.023
2023-04-19	키움	6초	안우진	6 이재현	1-1	유격수 땅볼	2사 2:4	이닝종료 2:4	0.49	-0.117	83.5	84.8	-0.013
2023-04-20	키움	2초	요키시	6 이재현	1-2	좌익수 안타	무사 1:4	무사 1루 1:4	0.81	0.398	78.2	74.8	0.034
2023-04-20	키움	4초	요키시	6 이재현	1-2	중견수 뜬공	1사 1:4	2사 1:4	0.59	-0.180	84.0	85.5	-0.015
2023-04-20	키움	6초	요키시	6 이재현	2-3	이재현/15034 : 삼진 아웃	1사 1,3루 1:4	2사 2,3루 1:4	2.09	-0.705	79.9	86.6	-0.067
2023-04-21	KIA	2초	윤영철	7 이재현	2-2	중견수 뜬공	무사 0:0	1사 0:0	0.93	-0.258	50.0	52.4	-0.024
2023-04-21	KIA	4초	윤영철	7 이재현	2-2	좌익수 뜬공	1사 0:1	2사 0:1	0.81	-0.180	65.4	67.4	-0.020
2023-04-21	KIA	5초	임기영	7 이재현	0-1	유격수 뜬공	2사 1,3루 3:1	이닝종료 3:1	1.42	-0.538	24.5	28.4	-0.039
2023-04-21	KIA	8초	김기훈	7 이재현	1-1	좌익수 안타	무사 4:2	무사 1루 4:2	0.49	0.398	13.4	11.6	0.018
2023-04-22	KIA	2초	양현종	7 이재현	2-2	이재현/15034 : 삼진 아웃	2사 0:5	이닝종료 0:5	0.19	-0.117	91.7	92.2	-0.005
2023-04-22	KIA	5초	양현종	7 이재현	2-1	중견수 안타	무사 0:5	무사 1루 0:5	0.46	0.398	93.9	91.9	0.021
2023-04-22	KIA	6초	전상현	7 이재현	2-1	이재현/15034 : 삼진 아웃	1사 만루 1:5	2사 만루 1:5	2.60	-0.835	83.3	89.5	-0.062
2023-04-22	KIA	8초	최지민	7 이재현	1-1	2루수 병살타	1사 1루 2:6	이닝종료 2:6	0.62	-0.573	96.4	98.8	-0.024
2023-04-23	KIA	2초	앤더슨	7 이재현	1-1	3루수 땅볼	1사 1:2	2사 1:2	0.68	-0.180	63.0	64.7	-0.017
2023-04-23	KIA	5초	앤더슨	7 이재현	1-0	우익수 뜬공	무사 1:3	1사 1:3	1.13	-0.258	75.5	78.4	-0.029
2023-04-23	KIA	7초	전상현	7 이재현	2-0	이재현/15034 : 2루수 직선타 아웃	1사 1루 1:4	2사 1루 1:4	1.22	-0.322	89.3	92.3	-0.030
2023-04-23	KIA	9초	정해영	7 이재현	0-1	유격수 뜬공	무사 3:5	1사 3:5	1.50	-0.258	92.6	96.5	-0.038
2023-04-26	두산	2말	알칸타라	8 이재현	2-1	이재현/15034 : 삼진 아웃	2사 0:0	이닝종료 0:0	0.43	-0.117	51.1	50.0	-0.011
2023-04-26	두산	5말	알칸타라	8 이재현	1-1	좌익수 안타	무사 0:1	무사 1루 0:1	0.84	0.398	71.0	74.3	0.033
2023-04-26	두산	7말	최지강	8 이재현	1-2	유격수 땅볼	무사 0:1	1사 0:1	0.75	-0.258	79.1	77.2	-0.019
2023-04-27	두산	2말	김동주	6 이재현	1-0	1루수 파울 뜬공	무사 1,2루 5:0	1사 1,2루 5:0	1.53	-0.602	18.9	14.9	-0.040
2023-04-27	두산	4말	김동주	6 이재현	2-0	유격수 땅볼	무사 5:2	1사 5:2	0.97	-0.258	21.1	18.6	-0.025
2023-04-27	두산	6말	김동주	6 이재현	2-1	이재현/15034 : 삼진 아웃	1사 5:3	2사 5:3	0.96	-0.180	22.0	19.6	-0.024
2023-04-27	두산	7말	정철원	6 이재현	1-0	3루수 땅볼	2사 6:7	이닝종료 6:7	0.39	-0.117	75.8	74.8	-0.010
2023-04-28	KT	2초	슐서	6 이재현	2-2	이재현/15034 : 삼진 아웃	무사 1:0	1사 1:0	0.82	-0.258	39.5	41.6	-0.021
2023-04-28	KT	4초	슐서	6 이재현	1-2	우익수 안타	1사 1루 1:0	1사 1,3루 1:0	1.20	0.670	37.3	30.7	0.066
2023-04-28	KT	6초	배제성	6 이재현	2-2	3루수 땅볼	무사 3:0	1사 3:0	0.43	-0.258	13.4	14.4	-0.011
2023-04-28	KT	7초	배제성	6 이재현	2-0	우익수 뜬공	1사 2루 5:0	2사 3루 5:0	0.15	-0.338	2.8	3.1	-0.004
2023-04-28	KT	9초	김재윤	6 이재현	2-0	좌익수 안타	무사 8:8	무사 1루 8:8	2.32	0.398	50.0	41.8	0.082
2023-04-28	KT	10초	박영현	6 이재현	1-0	중견수 안타	2사 만루 8:8	이닝종료 10:8	6.87	1.185	46.6	9.1	0.375
2023-04-29	KT	1초	고영표	6 이재현	0-1	3루수 땅볼	1사 1,2루 2:0	2사 1,3루 2:0	1.45	-0.433	28.3	31.1	-0.028
2023-04-29	KT	3초	고영표	6 이재현	2-0	중견수 안타	2사 1루 2:1	2사 1,2루 2:1	0.80	0.215	41.1	39.2	0.019
2023-04-29	KT	5초	고영표	6 이재현	1-0	투수 땅볼	2사 1,2루 2:2	이닝종료 2:2	2.24	-0.466	50.9	56.6	-0.058
2023-04-29	KT	8초	손동현	6 이재현	2-1	투수 내야안타	1사 2:2	1사 1루 2:2	1.39	0.276	54.7	49.8	0.049
2023-04-30	KT	1초	엄상백	1 이재현	1-0	유격수 땅볼	무사 0:0	1사 0:0	0.87	-0.258	50.0	52.2	-0.022
2023-04-30	KT	3초	엄상백	1 이재현	2-1	2루수 뜬공	1사 1루 0:0	2사 1루 0:0	1.33	-0.322	49.7	52.9	-0.032
2023-04-30	KT	6초	엄상백	1 이재현	2-1	이재현/15034 : 삼진 아웃	1사 0:0	2사 0:0	0.98	-0.180	53.4	55.8	-0.024
2023-04-30	KT	9초	김재윤	1 이재현	0-0	유격수 뜬공	무사 0:0	1사 0:0	2.32	-0.258	50.0	55.9	-0.059
2023-05-02	키움	1말	요키시	1 이재현	2-2	유격수 땅볼	무사 0:0	1사 0:0	0.87	-0.258	54.8	52.6	-0.022
2023-05-02	키움	3말	요키시	1 이재현	2-0	이재현/15034 : 삼진 아웃	1사 0:0	2사 0:0	0.72	-0.180	53.0	51.2	-0.018
2023-05-02	키움	5말	요키시	1 이재현	2-1	좌익수 뜬공	2사 1,3루 0:0	이닝종료 0:0	2.42	-0.538	56.7	50.0	-0.067
2023-05-02	키움	8말	임창민	1 이재현	1-0	포수 희생번트	무사 1루 0:0	1사 2루 0:0	2.68	-0.228	67.1	65.2	-0.019
2023-05-02	키움	10말	김동혁	1 이재현	2-2	유격수 땅볼	1사 4:0	2사 4:0	0.21	-0.180	0.7	0.2	-0.005
2023-05-03	키움	3말	후라도	9 이재현	2-3	2루수 땅볼	무사 2루 3:0	1사 3루 3:0	1.38	-0.206	29.2	27.0	-0.021
2023-05-03	키움	5말	후라도	9 이재현	1-0	우익수 안타	1사 3:1	1사 1루 3:1	0.87	0.276	25.2	28.8	0.036
2023-05-03	키움	8말	후라도	9 이재현	2-0	1루수 땅볼	1사 4:1	2사 4:1	0.65	-0.180	5.7	4.1	-0.016
2023-05-04	키움	3말	최원태	9 이재현	1-0	투수 희생번트 실책[실책포함]	무사 1루 0:1	무사 1,3루 0:1	1.30	0.951	70.3	78.3	0.081
2023-05-04	키움	3말	최원태	9 이재현	1-2	유격수 땅볼	2사 2루 0:8	이닝종료 0:8	0.07	-0.344	98.5	98.3	-0.002
2023-05-04	키움	5말	김준형	9 이재현	0-0	포수 파울 뜬공	1사 0:10	2사 0:10	0.01	-0.180	99.8	99.8	-0.000
2023-05-04	키움	6말	김준형	9 이재현	2-1	이재현/15034 : 삼진 아웃	2사 2루 0:13	이닝종료 0:13	0.00	-0.344	100.0	100.0	0.000
2023-05-09	한화	2초	김민우	8 이재현	2-3	볼넷	2사 2루 0:0	2사 1,2루 0:0	1.20	0.122	51.7	50.7	0.011
2023-05-09	한화	4초	김민우	8 이재현	2-0	이재현/15034 : 삼진 아웃	무사 1루 2:0	1사 2루 2:0	1.11	-0.380	24.0	26.6	-0.026
2023-05-09	한화	6초	김민우	8 이재현	1-1	3루수 땅볼	무사 3루 4:0	1사 3루 4:0	0.27	-0.499	5.0	6.3	-0.013
2023-05-09	한화	9초	한승주	8 이재현	1-3	볼넷	무사 5:1	무사 1루 5:1	0.06	0.398	1.4	1.2	0.002
2023-05-10	한화	3초	페냐	8 이재현	2-0	이재현/15034 : 삼진 아웃	1사 0:0	2사 0:0	0.72	-0.180	52.5	54.3	-0.018
2023-05-10	한화	6초	페냐	8 이재현	2-3	유격수 땅볼	무사 0:2	1사 0:2	1.23	-0.258	78.3	81.4	-0.031
2023-05-10	한화	8초	강재민	8 이재현	2-3	볼넷	1사 1:5	1사 1루 1:5	0.28	0.276	97.8	96.4	0.014
2023-05-11	한화	1초	산체스	2 이재현	2-3	우익수 뜬공	1사 0:0	2사 0:0	0.62	-0.180	52.2	53.8	-0.016
2023-05-11	한화	4초	산체스	2 이재현	0-3	볼넷	1사 0:2	1사 1루 0:2	0.72	0.276	76.0	73.0	0.030
2023-05-11	한화	6초	정우람	2 이재현	2-1	중견수 뜬공	1사 0:3	2사 0:3	0.61	-0.180	89.0	90.5	-0.015
2023-05-11	한화	9초	박상원	2 이재현	1-2	우익수 안타	무사 0:4	무사 1루 0:4	0.34	0.398	98.6	96.8	0.018
2023-05-12	LG	1말	이지강	1 이재현	0-0	유격수 땅볼	무사 0:0	1사 0:0	0.87	-0.258	54.8	52.6	-0.022
2023-05-12	LG	3말	이지강	1 이재현	2-3	볼넷	1사 0:0	1사 1루 0:0	0.72	0.276	53.0	55.7	0.028
2023-05-12	LG	5말	이지강	1 이재현	0-0	투수 희생번트	무사 1루 0:3	1사 2루 0:3	0.57	-0.228	90.1	89.6	-0.006
2023-05-12	LG	6말	송은범	1 이재현	1-3	볼넷	2사 1,2루 0:4	2사 만루 0:4	0.32	0.349	95.1	95.6	0.005
2023-05-13	LG	1말	켈리	1 이재현	2-2	유격수 땅볼	무사 0:0	1사 0:0	0.87	-0.258	54.8	52.6	-0.022
2023-05-13	LG	3말	켈리	1 이재현	1-3	볼넷	1사 4:1	1사 1루 4:1	0.63	0.276	20.8	23.4	0.026
2023-05-13	LG	5말	켈리	1 이재현	1-1	좌익수 2루타	2사 1루 4:1	2사 2루 4:2	0.84	1.093	15.8	26.0	0.102
2023-05-13	LG	8말	정우영	1 이재현	2-2	2루수 땅볼	무사 7:3	1사 7:3	0.60	-0.258	4.2	2.7	-0.015
2023-05-14	LG	1말	플럿코	1 이재현	2-1	2루수 플라이 실책[실책포함]	무사 0:0	무사 1루 0:0	0.87	0.398	54.8	58.3	0.035
2023-05-14	LG	2말	플럿코	1 이재현	0-0	중견수 뜬공	2사 0:3	이닝종료 0:3	0.23	-0.117	80.4	79.9	-0.006
2023-05-14	LG	4말	플럿코	1 이재현	2-1	좌익수 뜬공	1사 3:5	2사 3:5	0.44	-0.180	77.4	76.3	-0.011
2023-05-14	LG	6말	플럿코	1 이재현	0-2	2루수 뜬공	2사 1,2루 3:5	이닝종료 3:5	0.97	-0.466	84.4	81.9	-0.025
2023-05-14	LG	9말	함덕주	1 이재현	1-2	2루수 뜬공	1사 8:5	2사 8:5	0.50	-0.180	1.8	0.5	-0.013
2023-05-16	KIA	1말	앤더슨	2 이재현	1-0	좌익수 안타	무사 1루 0:0	무사 1,2루 0:0	1.42	0.620	58.3	63.7	0.054
2023-05-16	KIA	3말	앤더슨	2 이재현	2-2	이재현/15034 : 삼진 아웃	무사 1루 0:2	1사 1루 0:2	0.97	-0.380	79.2	76.9	-0.023
2023-05-16	KIA	5말	앤더슨	2 이재현	2-3	볼넷	무사 1:2	무사 1루 1:2	0.84	0.398	71.0	74.3	0.033
2023-05-16	KIA	7말	최지민	2 이재현	2-1	이재현/15034 : 삼진 아웃	1사 1루 8:2	2사 1루 8:2	0.30	-0.322	2.0	1.2	-0.007
2023-05-16	KIA	9말	장현식	2 이재현	2-0	3루수 병살타	1사 1루 8:2	이닝종료 8:2	0.09	-0.573	0.3	0.0	-0.003
2023-05-17	KIA	1말	윤영철	2 이재현	2-2	유격수 땅볼	무사 2루 0:0	1사 2루 0:0	1.20	-0.464	60.7	56.6	-0.041
2023-05-17	KIA	3말	윤영철	2 이재현	2-1	우익수 안타	1사 1루 4:0	1사 1,2루 4:0	0.99	0.398	16.1	19.5	0.033
2023-05-17	KIA	6말	윤영철	2 이재현	2-1	좌익수 안타	무사 6:0	무사 1루 6:0	0.30	0.398	3.0	4.4	0.014
2023-05-17	KIA	7말	임기영	2 이재현	2-1	이재현/15034 : 삼진 아웃	1사 6:3	2사 6:3	0.70	-0.180	9.6	7.9	-0.017
2023-05-17	KIA	9말	정해영	2 이재현	0-1	유격수 땅볼 실책[실책포함]	1사 1,2루 7:3	1사 1,3루 7:4	1.24	1.272	4.2	11.1	0.069
2023-05-19	NC	2초	이용준	8 이재현	2-3	좌익수 안타	무사 2:1	무사 1루 2:1	0.82	0.398	39.5	36.2	0.033
2023-05-19	NC	4초	이용준	8 이재현	1-2	좌익수 홈런	1사 3:1	1사 4:1	0.51	1.000	28.5	19.5	0.090
2023-05-19	NC	5초	최성영	8 이재현	2-2	이재현/15034 : 삼진 아웃	2사 1,2루 5:1	이닝종료 5:1	0.59	-0.466	10.3	11.8	-0.015
2023-05-19	NC	7초	이준호	8 이재현	2-2	중견수 뜬공	2사 2루 5:1	이닝종료 5:1	0.29	-0.344	6.0	6.9	-0.008
2023-05-20	NC	2초	페디	6 이재현	2-3	이재현/15034 : 삼진 아웃	무사 2:3	1사 2:3	0.97	-0.258	60.5	63.0	-0.024
2023-05-20	NC	4초	페디	6 이재현	1-1	중견수 안타	2사 3:8	2사 1루 3:8	0.16	0.134	94.4	93.8	0.006
2023-05-20	NC	6초	류진욱	6 이재현	2-1	이재현/15034 : 삼진 아웃	2사 1,2루 3:13	이닝종료 3:13	0.04	-0.466	99.8	99.9	-0.001
2023-05-20	NC	9초	조민석	6 이재현	0-0	좌익수 안타	무사 3:14	무사 1루 3:14	0.00	0.398	100.0	100.0	0.000
2023-05-21	NC	3초	이재학	9 이재현	2-2	이재현/15034 : 삼진 아웃	1사 0:0	2사 0:0	0.72	-0.180	52.5	54.3	-0.018
2023-05-21	NC	6초	이재학	9 이재현	2-2	중견수 뜬공	무사 0:1	1사 0:1	1.45	-0.258	66.3	70.0	-0.037
2023-05-21	NC	8초	임정호	9 이재현	2-0	유격수 땅볼	무사 1:1	1사 1:1	1.85	-0.258	50.0	54.7	-0.047
2023-05-21	NC	10초	김시훈	9 이재현	1-2	3루수 땅볼	2사 3루 1:1	이닝종료 1:1	4.40	-0.387	51.7	63.7	-0.120
2023-05-21	NC	12초	류진욱	9 이재현	2-0	이재현/15034 : 삼진 아웃	2사 2:1	이닝종료 2:1	0.35	-0.117	19.1	20.0	-0.009
2023-05-23	두산	2초	장원준	9 이재현	1-1	우익수 3루타	1사 1,2루 2:1	1사 3루 4:1	1.80	2.012	36.0	18.8	0.172
2023-05-23	두산	4초	장원준	9 이재현	2-2	투수 뜬공	2사 4:6	이닝종료 4:6	0.45	-0.117	77.8	78.9	-0.011
2023-05-23	두산	6초	박치국	9 이재현	2-0	유격수 땅볼	2사 만루 4:6	이닝종료 4:6	4.17	-0.815	74.2	84.8	-0.106
2023-05-23	두산	8초	정철원	9 이재현	2-0	이재현/15034 : 삼진 아웃	2사 5:7	이닝종료 5:7	0.51	-0.117	92.7	94.0	-0.014
2023-05-24	두산	1초	김동주	2 이재현	2-2	좌익수 뜬공	무사 1루 0:0	1사 1루 0:0	1.44	-0.380	46.5	49.8	-0.033
2023-05-24	두산	3초	김동주	2 이재현	2-1	이재현/15034 : 삼진 아웃	1사 0:0	2사 0:0	0.72	-0.180	52.5	54.3	-0.018
2023-05-24	두산	6초	김명신	2 이재현	2-3	중견수 뜬공	무사 0:0	1사 0:0	1.34	-0.258	50.0	53.4	-0.034
2023-05-24	두산	8초	정철원	2 이재현	2-0	좌익수 안타	무사 1루 0:0	무사 1,2루 0:0	2.83	0.620	43.2	33.3	0.099
2023-05-24	두산	9초	김호준	2 이재현	1-1	중견수 뜬공	무사 6:0	1사 6:0	0.01	-0.258	0.3	0.3	-0.000
2023-05-25	두산	1초	최승용	1 이재현	2-1	유격수 뜬공	무사 0:0	1사 0:0	0.87	-0.258	50.0	52.2	-0.022
2023-05-25	두산	3초	최승용	1 이재현	2-1	이재현/15034 : 삼진 아웃	1사 1:0	2사 1:0	0.62	-0.180	40.8	42.3	-0.016
2023-05-25	두산	5초	최승용	1 이재현	0-1	좌익수 뜬공	1사 1:2	2사 1:2	0.91	-0.180	67.3	69.6	-0.023
2023-05-25	두산	7초	박치국	1 이재현	2-0	이재현/15034 : 삼진 아웃	1사 2루 2:2	2사 2루 2:2	2.16	-0.381	46.5	52.6	-0.061
2023-05-25	두산	10초	홍건희	1 이재현	1-1	우익수 2루타	무사 2:2	무사 2루 2:2	2.32	0.634	50.0	32.8	0.172
2023-05-26	KT	2말	배제성	8 이재현	0-0	2루수 뜬공	2사 0:1	이닝종료 0:1	0.37	-0.117	62.4	61.4	-0.010
2023-05-26	KT	5말	배제성	8 이재현	2-1	이재현/15034 : 삼진 아웃	무사 1루 3:1	1사 1루 3:1	2.12	-0.380	33.7	28.8	-0.049
2023-05-26	KT	7말	손동현	8 이재현	2-1	유격수 땅볼	무사 3:1	1사 3:1	1.54	-0.258	21.5	17.6	-0.039
2023-05-27	KT	2말	벤자민	7 이재현	1-1	유격수 뜬공	2사 2:1	이닝종료 2:1	0.46	-0.117	39.8	38.6	-0.012
2023-05-27	KT	5말	벤자민	7 이재현	1-1	좌익수 안타	무사 1루 5:1	무사 1,2루 5:1	1.35	0.620	15.2	20.9	0.057
2023-05-27	KT	7말	이채호	7 이재현	2-2	우익수 뜬공	1사 5:2	2사 5:2	0.70	-0.180	9.6	7.9	-0.017
2023-05-28	KT	2말	슐서	9 이재현	0-2	우익수 희생플라이	1사 만루 0:0	2사 1,3루 0:1	2.60	-0.112	65.2	65.8	0.006
2023-05-28	KT	4말	슐서	9 이재현	0-1	포수 희생번트	무사 1루 0:4	1사 2루 0:4	0.41	-0.228	92.5	92.1	-0.004
2023-05-28	KT	6말	이선우	9 이재현	2-1	우익수 뜬공	무사 0:6	1사 0:6	0.05	-0.258	98.7	98.6	-0.001
2023-05-28	KT	8말	전용주	9 이재현	0-2	1루수 뜬공	2사 0:6	이닝종료 0:6	0.02	-0.117	99.8	99.8	-0.000
2023-05-30	SSG	2초	맥카티	7 이재현	2-1	이재현/15034 : 삼진 아웃	2사 1루 0:3	이닝종료 0:3	0.68	-0.251	80.5	82.5	-0.019
2023-05-30	SSG	5초	맥카티	7 이재현	1-0	좌익수 홈런	2사 0:3	2사 1:3	0.34	1.000	87.8	80.3	0.075
2023-05-30	SSG	7초	노경은	7 이재현	0-1	우익수 뜬공	1사 1,2루 1:3	2사 1,3루 1:3	3.17	-0.433	75.3	81.8	-0.065
2023-05-30	SSG	9초	서진용	7 이재현	1-1	좌익수 안타	1사 1,2루 1:3	1사 만루 1:3	3.92	0.679	83.8	72.2	0.116
2023-05-31	SSG	1초	엘리아스	5 이재현	1-1	이재현/15034 : 3루수 직선타 아웃	2사 2루 1:0	이닝종료 1:0	1.03	-0.344	41.6	44.5	-0.029
2023-05-31	SSG	4초	엘리아스	5 이재현	1-2	우익수 홈런	1사 1:0	1사 2:0	0.67	1.000	39.8	28.5	0.113
2023-05-31	SSG	6초	엘리아스	5 이재현	1-1	유격수 땅볼	2사 2:2	이닝종료 2:2	0.66	-0.117	55.8	57.5	-0.017
2023-05-31	SSG	9초	최민준	5 이재현	0-1	1루수 희생번트	무사 1루 3:2	1사 2루 3:2	0.99	-0.228	13.8	14.7	-0.008
