AREA	LEVEL	DAY	PERIOD	DEPOSIT	RENT	CONTRACT	RENEWAL	DEPOSIT_PREV	RENT_PREV	DROPPED
12월										
전용면적(㎡)	층	계약일	계약기간	"보증금
(만원)"	"월세
(만원)"	계약구분	"갱신요구권
사용"	"종전계약
보증금
(만원)"	"종전계약
월세
(만원)"	전산공부
84.99	18	2	22.11~24.11	60,000	60	신규	-	-	-	보기
84.99	15	1	22.11~24.11	81,000	0	갱신	-	59,000	0	보기
8월										
전용면적(㎡)	층	계약일	계약기간	"보증금
(만원)"	"월세
(만원)"	계약구분	"갱신요구권
사용"	"종전계약
보증금
(만원)"	"종전계약
월세
(만원)"	전산공부
128.81	8	31	22.10~24.10	80,000	30	갱신	-	68,000	56	보기
128.81	14	30	22.09~24.09	70,000	66	갱신	사용	70,000	50	보기
84.99	13	29	-	78,000	0	신규	-	-	-	보기
128.81	15	29	22.10~24.10	80,000	35	신규	-	-	-	보기
59.99	5	27	22.09~24.09	48,000	9	갱신	사용	48,000	0	보기
59.99	2	27	22.09~24.09	54,600	0	갱신	사용	52,000	0	보기
59.99	14	27	22.11~24.11	63,000	0	신규	-	-	-	보기
84.99	15	27	22.11~24.11	33,000	131	갱신	사용	33,000	120	보기
84.99	8	27	22.09~24.08	60,900	0	갱신	사용	58,000	0	보기
128.81	3	27	22.10~24.10	87,000	0	갱신	사용	83,000	0	보기
84.99	14	26	22.09~24.09	67,200	0	갱신	사용	64,000	0	보기
128.81	16	26	22.08~24.08	82,950	0	갱신	사용	79,000	0	보기
84.99	16	23	22.11~24.11	80,000	0	신규	-	-	-	보기
84.99	12	22	22.09~24.09	60,900	0	갱신	사용	58,000	0	보기
84.99	6	22	22.10~24.10	66,000	0	갱신	사용	63,000	0	보기
84.99	18	20	22.08~24.08	59,000	15	갱신	-	56,000	15	보기
84.99	12	19	22.10~24.10	75,000	0	신규	-	-	-	보기
59.99	10	17	22.09~24.09	10,000	107	갱신	사용	10,000	100	보기
59.99	7	17	22.08~24.08	54,600	0	갱신	사용	52,000	0	보기
84.99	15	17	22.08~24.08	59,850	0	갱신	사용	57,000	0	보기
84.99	14	16	22.08~24.08	40,000	110	갱신	-	40,000	50	보기
84.99	6	16	22.09~24.09	54,100	40	갱신	-	54,000	30	보기
84.99	4	16	22.08~22.12	68,000	0	갱신	사용	65,000	0	보기
59.99	14	15	22.11~24.11	61,000	0	신규	-	-	-	보기
59.99	12	13	22.09~24.09	15,000	110	갱신	-	15,000	90	보기
84.99	19	13	22.08~24.08	63,000	0	갱신	-	60,000	0	보기
152.1	8	13	22.08~24.08	95,000	30	갱신	-	95,000	0	보기
59.99	9	12	22.11~24.11	7,000	170	신규	-	-	-	보기
84.99	19	12	22.09~24.09	66,000	0	갱신	사용	63,000	0	보기
84.99	7	11	-	69,300	0	-	-	-	-	보기
